指标,年份,数值,省份
全体居民人均可支配收入 (元) ,2024年,31125.0,广西壮族自治区
城镇居民人均可支配收入 (元) ,2024年,43044.0,广西壮族自治区
农村居民人均可支配收入 (元) ,2024年,19954.0,广西壮族自治区
全体居民人均可支配收入 (元) ,2023年,29514.0,广西壮族自治区
城镇居民人均可支配收入 (元) ,2023年,41287.0,广西壮族自治区
农村居民人均可支配收入 (元) ,2023年,18656.0,广西壮族自治区
全体居民人均可支配收入 (元) ,2022年,27981.0,广西壮族自治区
城镇居民人均可支配收入 (元) ,2022年,39703.0,广西壮族自治区
农村居民人均可支配收入 (元) ,2022年,17433.0,广西壮族自治区
全体居民人均可支配收入 (元) ,2021年,26727.0,广西壮族自治区
城镇居民人均可支配收入 (元) ,2021年,38530.0,广西壮族自治区
农村居民人均可支配收入 (元) ,2021年,16363.0,广西壮族自治区
全体居民人均可支配收入 (元) ,2025年,,新疆维吾尔自治区
城镇居民人均可支配收入 (元) ,2025年,,新疆维吾尔自治区
农村居民人均可支配收入 (元) ,2025年,,新疆维吾尔自治区
全体居民人均可支配收入 (元) ,2024年,30899.0,新疆维吾尔自治区
城镇居民人均可支配收入 (元) ,2024年,42820.0,新疆维吾尔自治区
农村居民人均可支配收入 (元) ,2024年,19427.0,新疆维吾尔自治区
全体居民人均可支配收入 (元) ,2023年,28947.0,新疆维吾尔自治区
城镇居民人均可支配收入 (元) ,2023年,40578.0,新疆维吾尔自治区
农村居民人均可支配收入 (元) ,2023年,17948.0,新疆维吾尔自治区
全体居民人均可支配收入 (元) ,2022年,27063.0,新疆维吾尔自治区
城镇居民人均可支配收入 (元) ,2022年,38410.0,新疆维吾尔自治区
农村居民人均可支配收入 (元) ,2022年,16550.0,新疆维吾尔自治区
全体居民人均可支配收入 (元) ,2021年,26075.0,新疆维吾尔自治区
城镇居民人均可支配收入 (元) ,2021年,37642.0,新疆维吾尔自治区
农村居民人均可支配收入 (元) ,2021年,15575.0,新疆维吾尔自治区
全体居民人均可支配收入 (元) ,2025年,,江苏省
城镇居民人均可支配收入 (元) ,2025年,,江苏省
农村居民人均可支配收入 (元) ,2025年,,江苏省
全体居民人均可支配收入 (元) ,2024年,55415.0,江苏省
城镇居民人均可支配收入 (元) ,2024年,66173.0,江苏省
农村居民人均可支配收入 (元) ,2024年,32414.0,江苏省
全体居民人均可支配收入 (元) ,2023年,52674.0,江苏省
城镇居民人均可支配收入 (元) ,2023年,63211.0,江苏省
农村居民人均可支配收入 (元) ,2023年,30488.0,江苏省
全体居民人均可支配收入 (元) ,2022年,49862.0,江苏省
城镇居民人均可支配收入 (元) ,2022年,60178.0,江苏省
农村居民人均可支配收入 (元) ,2022年,28486.0,江苏省
全体居民人均可支配收入 (元) ,2021年,47498.0,江苏省
城镇居民人均可支配收入 (元) ,2021年,57743.0,江苏省
农村居民人均可支配收入 (元) ,2021年,26791.0,江苏省
全体居民人均可支配收入 (元) ,2025年,,江西省
城镇居民人均可支配收入 (元) ,2025年,,江西省
农村居民人均可支配收入 (元) ,2025年,,江西省
全体居民人均可支配收入 (元) ,2024年,36007.0,江西省
城镇居民人均可支配收入 (元) ,2024年,47514.0,江西省
农村居民人均可支配收入 (元) ,2024年,22673.0,江西省
全体居民人均可支配收入 (元) ,2023年,34242.0,江西省
城镇居民人均可支配收入 (元) ,2023年,45554.0,江西省
农村居民人均可支配收入 (元) ,2023年,21358.0,江西省
全体居民人均可支配收入 (元) ,2022年,32419.0,江西省
城镇居民人均可支配收入 (元) ,2022年,43697.0,江西省
农村居民人均可支配收入 (元) ,2022年,19936.0,江西省
全体居民人均可支配收入 (元) ,2021年,30610.0,江西省
城镇居民人均可支配收入 (元) ,2021年,41684.0,江西省
农村居民人均可支配收入 (元) ,2021年,18684.0,江西省
全体居民人均可支配收入 (元) ,2025年,,河北省
城镇居民人均可支配收入 (元) ,2025年,,河北省
农村居民人均可支配收入 (元) ,2025年,,河北省
全体居民人均可支配收入 (元) ,2024年,34665.0,河北省
城镇居民人均可支配收入 (元) ,2024年,45610.0,河北省
农村居民人均可支配收入 (元) ,2024年,22022.0,河北省
全体居民人均可支配收入 (元) ,2023年,32903.0,河北省
城镇居民人均可支配收入 (元) ,2023年,43631.0,河北省
农村居民人均可支配收入 (元) ,2023年,20688.0,河北省
全体居民人均可支配收入 (元) ,2022年,30867.0,河北省
城镇居民人均可支配收入 (元) ,2022年,41278.0,河北省
农村居民人均可支配收入 (元) ,2022年,19364.0,河北省
全体居民人均可支配收入 (元) ,2021年,29383.0,河北省
城镇居民人均可支配收入 (元) ,2021年,39791.0,河北省
农村居民人均可支配收入 (元) ,2021年,18179.0,河北省
全体居民人均可支配收入 (元) ,2025年,,河南省
城镇居民人均可支配收入 (元) ,2025年,,河南省
农村居民人均可支配收入 (元) ,2025年,,河南省
全体居民人均可支配收入 (元) ,2024年,31552.0,河南省
城镇居民人均可支配收入 (元) ,2024年,42027.0,河南省
农村居民人均可支配收入 (元) ,2024年,21330.0,河南省
全体居民人均可支配收入 (元) ,2023年,29933.0,河南省
城镇居民人均可支配收入 (元) ,2023年,40234.0,河南省
农村居民人均可支配收入 (元) ,2023年,20053.0,河南省
全体居民人均可支配收入 (元) ,2022年,28222.0,河南省
城镇居民人均可支配收入 (元) ,2022年,38484.0,河南省
农村居民人均可支配收入 (元) ,2022年,18697.0,河南省
全体居民人均可支配收入 (元) ,2021年,26811.0,河南省
城镇居民人均可支配收入 (元) ,2021年,37095.0,河南省
农村居民人均可支配收入 (元) ,2021年,17533.0,河南省
全体居民人均可支配收入 (元) ,2025年,,浙江省
城镇居民人均可支配收入 (元) ,2025年,,浙江省
农村居民人均可支配收入 (元) ,2025年,,浙江省
全体居民人均可支配收入 (元) ,2024年,67013.0,浙江省
城镇居民人均可支配收入 (元) ,2024年,78251.0,浙江省
农村居民人均可支配收入 (元) ,2024年,42786.0,浙江省
全体居民人均可支配收入 (元) ,2023年,63830.0,浙江省
城镇居民人均可支配收入 (元) ,2023年,74997.0,浙江省
农村居民人均可支配收入 (元) ,2023年,40311.0,浙江省
全体居民人均可支配收入 (元) ,2022年,60302.0,浙江省
城镇居民人均可支配收入 (元) ,2022年,71268.0,浙江省
农村居民人均可支配收入 (元) ,2022年,37565.0,浙江省
全体居民人均可支配收入 (元) ,2021年,57541.0,浙江省
城镇居民人均可支配收入 (元) ,2021年,68487.0,浙江省
农村居民人均可支配收入 (元) ,2021年,35247.0,浙江省
全体居民人均可支配收入 (元) ,2025年,,海南省
城镇居民人均可支配收入 (元) ,2025年,,海南省
农村居民人均可支配收入 (元) ,2025年,,海南省
全体居民人均可支配收入 (元) ,2024年,34829.0,海南省
城镇居民人均可支配收入 (元) ,2024年,44307.0,海南省
农村居民人均可支配收入 (元) ,2024年,22146.0,海南省
全体居民人均可支配收入 (元) ,2023年,33192.0,海南省
城镇居民人均可支配收入 (元) ,2023年,42661.0,海南省
农村居民人均可支配收入 (元) ,2023年,20708.0,海南省
全体居民人均可支配收入 (元) ,2022年,30957.0,海南省
城镇居民人均可支配收入 (元) ,2022年,40118.0,海南省
农村居民人均可支配收入 (元) ,2022年,19117.0,海南省
全体居民人均可支配收入 (元) ,2021年,30457.0,海南省
城镇居民人均可支配收入 (元) ,2021年,40213.0,海南省
农村居民人均可支配收入 (元) ,2021年,18076.0,海南省
全体居民人均可支配收入 (元) ,2025年,,湖北省
城镇居民人均可支配收入 (元) ,2025年,,湖北省
农村居民人均可支配收入 (元) ,2025年,,湖北省
全体居民人均可支配收入 (元) ,2024年,36947.0,湖北省
城镇居民人均可支配收入 (元) ,2024年,46987.0,湖北省
农村居民人均可支配收入 (元) ,2024年,22580.0,湖北省
全体居民人均可支配收入 (元) ,2023年,35146.0,湖北省
城镇居民人均可支配收入 (元) ,2023年,44990.0,湖北省
农村居民人均可支配收入 (元) ,2023年,21293.0,湖北省
全体居民人均可支配收入 (元) ,2022年,32914.0,湖北省
城镇居民人均可支配收入 (元) ,2022年,42626.0,湖北省
农村居民人均可支配收入 (元) ,2022年,19709.0,湖北省
全体居民人均可支配收入 (元) ,2021年,30829.0,湖北省
城镇居民人均可支配收入 (元) ,2021年,40278.0,湖北省
农村居民人均可支配收入 (元) ,2021年,18259.0,湖北省
全体居民人均可支配收入 (元) ,2025年,,湖南省
城镇居民人均可支配收入 (元) ,2025年,,湖南省
农村居民人均可支配收入 (元) ,2025年,,湖南省
全体居民人均可支配收入 (元) ,2024年,37679.0,湖南省
城镇居民人均可支配收入 (元) ,2024年,51243.0,湖南省
农村居民人均可支配收入 (元) ,2024年,22204.0,湖南省
全体居民人均可支配收入 (元) ,2023年,35895.0,湖南省
城镇居民人均可支配收入 (元) ,2023年,49243.0,湖南省
农村居民人均可支配收入 (元) ,2023年,20921.0,湖南省
全体居民人均可支配收入 (元) ,2022年,34036.0,湖南省
城镇居民人均可支配收入 (元) ,2022年,47301.0,湖南省
农村居民人均可支配收入 (元) ,2022年,19546.0,湖南省
全体居民人均可支配收入 (元) ,2021年,31993.0,湖南省
城镇居民人均可支配收入 (元) ,2021年,44866.0,湖南省
农村居民人均可支配收入 (元) ,2021年,18295.0,湖南省
全体居民人均可支配收入 (元) ,2025年,,甘肃省
城镇居民人均可支配收入 (元) ,2025年,,甘肃省
农村居民人均可支配收入 (元) ,2025年,,甘肃省
全体居民人均可支配收入 (元) ,2024年,26612.0,甘肃省
城镇居民人均可支配收入 (元) ,2024年,41842.0,甘肃省
农村居民人均可支配收入 (元) ,2024年,14105.0,甘肃省
全体居民人均可支配收入 (元) ,2023年,25011.0,甘肃省
城镇居民人均可支配收入 (元) ,2023年,39833.0,甘肃省
农村居民人均可支配收入 (元) ,2023年,13131.0,甘肃省
全体居民人均可支配收入 (元) ,2022年,23273.0,甘肃省
城镇居民人均可支配收入 (元) ,2022年,37572.0,甘肃省
农村居民人均可支配收入 (元) ,2022年,12165.0,甘肃省
全体居民人均可支配收入 (元) ,2021年,22066.0,甘肃省
城镇居民人均可支配收入 (元) ,2021年,36187.0,甘肃省
农村居民人均可支配收入 (元) ,2021年,11433.0,甘肃省
全体居民人均可支配收入 (元) ,2025年,,福建省
城镇居民人均可支配收入 (元) ,2025年,,福建省
农村居民人均可支配收入 (元) ,2025年,,福建省
全体居民人均可支配收入 (元) ,2024年,47857.0,福建省
城镇居民人均可支配收入 (元) ,2024年,58763.0,福建省
农村居民人均可支配收入 (元) ,2024年,28525.0,福建省
全体居民人均可支配收入 (元) ,2023年,45426.0,福建省
城镇居民人均可支配收入 (元) ,2023年,56153.0,福建省
农村居民人均可支配收入 (元) ,2023年,26722.0,福建省
全体居民人均可支配收入 (元) ,2022年,43118.0,福建省
城镇居民人均可支配收入 (元) ,2022年,53817.0,福建省
农村居民人均可支配收入 (元) ,2022年,24987.0,福建省
全体居民人均可支配收入 (元) ,2021年,40659.0,福建省
城镇居民人均可支配收入 (元) ,2021年,51140.0,福建省
农村居民人均可支配收入 (元) ,2021年,23229.0,福建省
全体居民人均可支配收入 (元) ,2025年,,西藏自治区
城镇居民人均可支配收入 (元) ,2025年,,西藏自治区
农村居民人均可支配收入 (元) ,2025年,,西藏自治区
全体居民人均可支配收入 (元) ,2024年,31358.0,西藏自治区
城镇居民人均可支配收入 (元) ,2024年,55444.0,西藏自治区
农村居民人均可支配收入 (元) ,2024年,21578.0,西藏自治区
全体居民人均可支配收入 (元) ,2023年,28983.0,西藏自治区
城镇居民人均可支配收入 (元) ,2023年,51900.0,西藏自治区
农村居民人均可支配收入 (元) ,2023年,19924.0,西藏自治区
全体居民人均可支配收入 (元) ,2022年,26675.0,西藏自治区
城镇居民人均可支配收入 (元) ,2022年,48753.0,西藏自治区
农村居民人均可支配收入 (元) ,2022年,18209.0,西藏自治区
全体居民人均可支配收入 (元) ,2021年,24950.0,西藏自治区
城镇居民人均可支配收入 (元) ,2021年,46503.0,西藏自治区
农村居民人均可支配收入 (元) ,2021年,16932.0,西藏自治区
全体居民人均可支配收入 (元) ,2025年,,贵州省
城镇居民人均可支配收入 (元) ,2025年,,贵州省
农村居民人均可支配收入 (元) ,2025年,,贵州省
全体居民人均可支配收入 (元) ,2024年,28561.0,贵州省
城镇居民人均可支配收入 (元) ,2024年,44558.0,贵州省
农村居民人均可支配收入 (元) ,2024年,15856.0,贵州省
全体居民人均可支配收入 (元) ,2023年,27098.0,贵州省
城镇居民人均可支配收入 (元) ,2023年,42772.0,贵州省
农村居民人均可支配收入 (元) ,2023年,14817.0,贵州省
全体居民人均可支配收入 (元) ,2022年,25508.0,贵州省
城镇居民人均可支配收入 (元) ,2022年,41086.0,贵州省
农村居民人均可支配收入 (元) ,2022年,13707.0,贵州省
全体居民人均可支配收入 (元) ,2021年,23996.0,贵州省
城镇居民人均可支配收入 (元) ,2021年,39211.0,贵州省
农村居民人均可支配收入 (元) ,2021年,12856.0,贵州省
全体居民人均可支配收入 (元) ,2025年,,辽宁省
城镇居民人均可支配收入 (元) ,2025年,,辽宁省
农村居民人均可支配收入 (元) ,2025年,,辽宁省
全体居民人均可支配收入 (元) ,2024年,39844.0,辽宁省
城镇居民人均可支配收入 (元) ,2024年,47982.0,辽宁省
农村居民人均可支配收入 (元) ,2024年,22744.0,辽宁省
全体居民人均可支配收入 (元) ,2023年,37992.0,辽宁省
城镇居民人均可支配收入 (元) ,2023年,45896.0,辽宁省
农村居民人均可支配收入 (元) ,2023年,21483.0,辽宁省
全体居民人均可支配收入 (元) ,2022年,36089.0,辽宁省
城镇居民人均可支配收入 (元) ,2022年,44003.0,辽宁省
农村居民人均可支配收入 (元) ,2022年,19908.0,辽宁省
全体居民人均可支配收入 (元) ,2021年,35112.0,辽宁省
城镇居民人均可支配收入 (元) ,2021年,43051.0,辽宁省
农村居民人均可支配收入 (元) ,2021年,19217.0,辽宁省
全体居民人均可支配收入 (元) ,2025年,,重庆市
城镇居民人均可支配收入 (元) ,2025年,,重庆市
农村居民人均可支配收入 (元) ,2025年,,重庆市
全体居民人均可支配收入 (元) ,2024年,39713.0,重庆市
城镇居民人均可支配收入 (元) ,2024年,49778.0,重庆市
农村居民人均可支配收入 (元) ,2024年,22221.0,重庆市
全体居民人均可支配收入 (元) ,2023年,37595.0,重庆市
城镇居民人均可支配收入 (元) ,2023年,47435.0,重庆市
农村居民人均可支配收入 (元) ,2023年,20820.0,重庆市
全体居民人均可支配收入 (元) ,2022年,35666.0,重庆市
城镇居民人均可支配收入 (元) ,2022年,45509.0,重庆市
农村居民人均可支配收入 (元) ,2022年,19313.0,重庆市
全体居民人均可支配收入 (元) ,2021年,33803.0,重庆市
城镇居民人均可支配收入 (元) ,2021年,43502.0,重庆市
农村居民人均可支配收入 (元) ,2021年,18100.0,重庆市
全体居民人均可支配收入 (元) ,2025年,,陕西省
城镇居民人均可支配收入 (元) ,2025年,,陕西省
农村居民人均可支配收入 (元) ,2025年,,陕西省
全体居民人均可支配收入 (元) ,2024年,33905.0,陕西省
城镇居民人均可支配收入 (元) ,2024年,46821.0,陕西省
农村居民人均可支配收入 (元) ,2024年,18199.0,陕西省
全体居民人均可支配收入 (元) ,2023年,32128.0,陕西省
城镇居民人均可支配收入 (元) ,2023年,44713.0,陕西省
农村居民人均可支配收入 (元) ,2023年,16992.0,陕西省
全体居民人均可支配收入 (元) ,2022年,30116.0,陕西省
城镇居民人均可支配收入 (元) ,2022年,42431.0,陕西省
农村居民人均可支配收入 (元) ,2022年,15704.0,陕西省
全体居民人均可支配收入 (元) ,2021年,28568.0,陕西省
城镇居民人均可支配收入 (元) ,2021年,40713.0,陕西省
农村居民人均可支配收入 (元) ,2021年,14745.0,陕西省
全体居民人均可支配收入 (元) ,2025年,,青海省
城镇居民人均可支配收入 (元) ,2025年,,青海省
农村居民人均可支配收入 (元) ,2025年,,青海省
全体居民人均可支配收入 (元) ,2024年,30117.0,青海省
城镇居民人均可支配收入 (元) ,2024年,42191.0,青海省
农村居民人均可支配收入 (元) ,2024年,16715.0,青海省
全体居民人均可支配收入 (元) ,2023年,28587.0,青海省
城镇居民人均可支配收入 (元) ,2023年,40408.0,青海省
农村居民人均可支配收入 (元) ,2023年,15614.0,青海省
全体居民人均可支配收入 (元) ,2022年,27000.0,青海省
城镇居民人均可支配收入 (元) ,2022年,38736.0,青海省
农村居民人均可支配收入 (元) ,2022年,14456.0,青海省
全体居民人均可支配收入 (元) ,2021年,25919.0,青海省
