指标,年份,数值,省份
全体居民人均可支配收入 (元),2022,36089.0,辽宁省
城镇居民人均可支配收入 (元),2022,44003.0,辽宁省
农村居民人均可支配收入 (元),2022,19908.0,辽宁省
全体居民人均可支配收入 (元),2021,35112.0,辽宁省
城镇居民人均可支配收入 (元),2021,43051.0,辽宁省
农村居民人均可支配收入 (元),2021,19217.0,辽宁省
全体居民人均可支配收入 (元),2024,39713.0,重庆市
城镇居民人均可支配收入 (元),2024,49778.0,重庆市
农村居民人均可支配收入 (元),2024,22221.0,重庆市
全体居民人均可支配收入 (元),2023,37595.0,重庆市
城镇居民人均可支配收入 (元),2023,47435.0,重庆市
农村居民人均可支配收入 (元),2023,20820.0,重庆市
全体居民人均可支配收入 (元),2022,35666.0,重庆市
城镇居民人均可支配收入 (元),2022,45509.0,重庆市
农村居民人均可支配收入 (元),2022,19313.0,重庆市
全体居民人均可支配收入 (元),2021,33803.0,重庆市
城镇居民人均可支配收入 (元),2021,43502.0,重庆市
农村居民人均可支配收入 (元),2021,18100.0,重庆市
全体居民人均可支配收入 (元),2024,33905.0,陕西省
城镇居民人均可支配收入 (元),2024,46821.0,陕西省
农村居民人均可支配收入 (元),2024,18199.0,陕西省
全体居民人均可支配收入 (元),2023,32128.0,陕西省
城镇居民人均可支配收入 (元),2023,44713.0,陕西省
农村居民人均可支配收入 (元),2023,16992.0,陕西省
全体居民人均可支配收入 (元),2022,30116.0,陕西省
城镇居民人均可支配收入 (元),2022,42431.0,陕西省
农村居民人均可支配收入 (元),2022,15704.0,陕西省
全体居民人均可支配收入 (元),2021,28568.0,陕西省
城镇居民人均可支配收入 (元),2021,40713.0,陕西省
农村居民人均可支配收入 (元),2021,14745.0,陕西省
全体居民人均可支配收入 (元),2024,30117.0,青海省
城镇居民人均可支配收入 (元),2024,42191.0,青海省
农村居民人均可支配收入 (元),2024,16715.0,青海省
全体居民人均可支配收入 (元),2023,28587.0,青海省
城镇居民人均可支配收入 (元),2023,40408.0,青海省
农村居民人均可支配收入 (元),2023,15614.0,青海省
全体居民人均可支配收入 (元),2022,27000.0,青海省
城镇居民人均可支配收入 (元),2022,38736.0,青海省
农村居民人均可支配收入 (元),2022,14456.0,青海省
全体居民人均可支配收入 (元),2021,25919.0,青海省
城镇居民人均可支配收入 (元),2021,37745.0,青海省
农村居民人均可支配收入 (元),2021,13604.0,青海省
全体居民人均可支配收入 (元),2024,31269.0,黑龙江省
城镇居民人均可支配收入 (元),2024,38212.0,黑龙江省
农村居民人均可支配收入 (元),2024,20963.0,黑龙江省
全体居民人均可支配收入 (元),2023,29694.0,黑龙江省
城镇居民人均可支配收入 (元),2023,36492.0,黑龙江省
农村居民人均可支配收入 (元),2023,19756.0,黑龙江省
全体居民人均可支配收入 (元),2022,28346.0,黑龙江省
城镇居民人均可支配收入 (元),2022,35042.0,黑龙江省
农村居民人均可支配收入 (元),2022,18577.0,黑龙江省
全体居民人均可支配收入 (元),2021,27159.0,黑龙江省
城镇居民人均可支配收入 (元),2021,33646.0,黑龙江省
农村居民人均可支配收入 (元),2021,17889.0,黑龙江省
