指标,年份,数值,省份
全体居民人均消费支出 (元) ,2022,25908.0,海南省
城镇居民人均消费支出 (元) ,2022,31507.0,海南省
农村居民人均消费支出 (元) ,2022,18415.0,海南省
全体居民人均消费支出 (元) ,2023,23752.0,海南省
城镇居民人均消费支出 (元) ,2023,28930.0,海南省
农村居民人均消费支出 (元) ,2023,16924.0,海南省
全体居民人均消费支出 (元) ,2024,21500.0,海南省
城镇居民人均消费支出 (元) ,2024,26418.0,海南省
农村居民人均消费支出 (元) ,2024,15145.0,海南省
全体居民人均消费支出 (元) ,2025,22242.0,海南省
城镇居民人均消费支出 (元) ,2025,27565.0,海南省
农村居民人均消费支出 (元) ,2025,15487.0,海南省
全体居民人均消费支出 (元) ,2021,,湖北省
城镇居民人均消费支出 (元) ,2021,,湖北省
农村居民人均消费支出 (元) ,2021,,湖北省
全体居民人均消费支出 (元) ,2022,27888.0,湖北省
城镇居民人均消费支出 (元) ,2022,32473.0,湖北省
农村居民人均消费支出 (元) ,2022,21326.0,湖北省
全体居民人均消费支出 (元) ,2023,27106.0,湖北省
城镇居民人均消费支出 (元) ,2023,31500.0,湖北省
农村居民人均消费支出 (元) ,2023,20922.0,湖北省
全体居民人均消费支出 (元) ,2024,24828.0,湖北省
城镇居民人均消费支出 (元) ,2024,29121.0,湖北省
农村居民人均消费支出 (元) ,2024,18991.0,湖北省
全体居民人均消费支出 (元) ,2025,23846.0,湖北省
城镇居民人均消费支出 (元) ,2025,28506.0,湖北省
农村居民人均消费支出 (元) ,2025,17647.0,湖北省
全体居民人均消费支出 (元) ,2021,,湖南省
城镇居民人均消费支出 (元) ,2021,,湖南省
农村居民人均消费支出 (元) ,2021,,湖南省
全体居民人均消费支出 (元) ,2022,26760.0,湖南省
城镇居民人均消费支出 (元) ,2022,32625.0,湖南省
农村居民人均消费支出 (元) ,2022,20068.0,湖南省
全体居民人均消费支出 (元) ,2023,25462.0,湖南省
城镇居民人均消费支出 (元) ,2023,31035.0,湖南省
农村居民人均消费支出 (元) ,2023,19210.0,湖南省
全体居民人均消费支出 (元) ,2024,24083.0,湖南省
城镇居民人均消费支出 (元) ,2024,29580.0,湖南省
农村居民人均消费支出 (元) ,2024,18078.0,湖南省
全体居民人均消费支出 (元) ,2025,22798.0,湖南省
城镇居民人均消费支出 (元) ,2025,28294.0,湖南省
农村居民人均消费支出 (元) ,2025,16951.0,湖南省
全体居民人均消费支出 (元) ,2021,,甘肃省
城镇居民人均消费支出 (元) ,2021,,甘肃省
农村居民人均消费支出 (元) ,2021,,甘肃省
全体居民人均消费支出 (元) ,2022,19829.0,甘肃省
城镇居民人均消费支出 (元) ,2022,28013.0,甘肃省
农村居民人均消费支出 (元) ,2022,13107.0,甘肃省
全体居民人均消费支出 (元) ,2023,19013.0,甘肃省
城镇居民人均消费支出 (元) ,2023,27044.0,甘肃省
农村居民人均消费支出 (元) ,2023,12575.0,甘肃省
全体居民人均消费支出 (元) ,2024,17489.0,甘肃省
城镇居民人均消费支出 (元) ,2024,25207.0,甘肃省
农村居民人均消费支出 (元) ,2024,11494.0,甘肃省
全体居民人均消费支出 (元) ,2025,17456.0,甘肃省
城镇居民人均消费支出 (元) ,2025,25757.0,甘肃省
农村居民人均消费支出 (元) ,2025,11206.0,甘肃省
全体居民人均消费支出 (元) ,2021,,福建省
城镇居民人均消费支出 (元) ,2021,,福建省
农村居民人均消费支出 (元) ,2021,,福建省
全体居民人均消费支出 (元) ,2022,33876.0,福建省
城镇居民人均消费支出 (元) ,2022,39910.0,福建省
农村居民人均消费支出 (元) ,2022,23179.0,福建省
全体居民人均消费支出 (元) ,2023,31869.0,福建省
城镇居民人均消费支出 (元) ,2023,37674.0,福建省
农村居民人均消费支出 (元) ,2023,21746.0,福建省
全体居民人均消费支出 (元) ,2024,30042.0,福建省
城镇居民人均消费支出 (元) ,2024,35692.0,福建省
农村居民人均消费支出 (元) ,2024,20467.0,福建省
全体居民人均消费支出 (元) ,2025,28440.0,福建省
城镇居民人均消费支出 (元) ,2025,33942.0,福建省
农村居民人均消费支出 (元) ,2025,19290.0,福建省
全体居民人均消费支出 (元) ,2021,,西藏自治区
城镇居民人均消费支出 (元) ,2021,,西藏自治区
农村居民人均消费支出 (元) ,2021,,西藏自治区
全体居民人均消费支出 (元) ,2022,18983.0,西藏自治区
城镇居民人均消费支出 (元) ,2022,31292.0,西藏自治区
农村居民人均消费支出 (元) ,2022,13985.0,西藏自治区
全体居民人均消费支出 (元) ,2023,17220.0,西藏自治区
城镇居民人均消费支出 (元) ,2023,28858.0,西藏自治区
农村居民人均消费支出 (元) ,2023,12619.0,西藏自治区
全体居民人均消费支出 (元) ,2024,15886.0,西藏自治区
城镇居民人均消费支出 (元) ,2024,28265.0,西藏自治区
农村居民人均消费支出 (元) ,2024,11139.0,西藏自治区
全体居民人均消费支出 (元) ,2025,15343.0,西藏自治区
城镇居民人均消费支出 (元) ,2025,28159.0,西藏自治区
农村居民人均消费支出 (元) ,2025,10577.0,西藏自治区
全体居民人均消费支出 (元) ,2021,,贵州省
城镇居民人均消费支出 (元) ,2021,,贵州省
农村居民人均消费支出 (元) ,2021,,贵州省
全体居民人均消费支出 (元) ,2022,20871.0,贵州省
城镇居民人均消费支出 (元) ,2022,28512.0,贵州省
农村居民人均消费支出 (元) ,2022,14802.0,贵州省
全体居民人均消费支出 (元) ,2023,20161.0,贵州省
